Продукт,Калорийность,Белки,Жиры,Углеводы
Фаршированные огурцы,102 кКал,"1,6 г","9,3 г","3,2 г"
Фаршированный лук,"152,6 кКал","5,6 г","11,2 г","7,8 г"
Фаршированный чернослив,"174,5 кКал","5,9 г",1 г,38 г
Фасоль овощная отварная,"24,7 кКал","2,492 г","0,305 г","2,918 г"
Фасоль с огурцами,"107,2 кКал","4,8 г","5,5 г","10,2 г"
Фасоль с черносливом,"316,5 кКал","8,7 г","12,8 г","44,4 г"
Фасоль с яблоками,"209,1 кКал","10,2 г","3,4 г","36,8 г"
Филе,"374,5 кКал","33,2 г","26,8 г","0,04 г"
Филе из кур или дичи фаршированное,"335,4 кКал",17 г,"27,1 г","6,1 г"
"Филе индейки, фаршированное яблоками и черносливом","255,5 кКал","12,2 г","14,9 г","19,4 г"
"Филе морского гребешка, жаренное во фритюре","251,5 кКал","22,1 г","13,2 г","11,7 г"
Филе птицы или дичи под майонезом,"400,2 кКал","16,7 г","33,3 г","9,1 г"
Филе с помидорами и соусом,"235,1 кКал","12,7 г","16,7 г","9,1 г"
Филе с соусом,288 кКал,"20,2 г","19,9 г","7,5 г"
Филе скумбрии по-гречески,"78,4 кКал","4,6 г","4,2 г","5,9 г"
Форшмак,"245,3 кКал","6,9 г","21,7 г",6 г
Форшмак картофельный с сельдью,"255,6 кКал","8,7 г","21,1 г","8,4 г"
Фрикадельки мясные,263 кКал,"28,7 г",16 г,1 г
Фрикадельки рыбные,"152,6 кКал","21,6 г","6,7 г","1,6 г"
Хрюшка из картофеля,"130,2 кКал","4,8 г","9,3 г","7,2 г"
Цветная капуста отварная,"178,8 кКал","1,3 г","18,3 г","2,3 г"
Цветная капуста под голландским соусом,"52,4 кКал","2,3 г","3,2 г","3,8 г"
Цветная капуста под соусом,"123,2 кКал","2,3 г","10,9 г","4,2 г"
Цветная капуста с морковью,"72,3 кКал","1,5 г","5,9 г","3,5 г"
Цветная капуста с морковью и сельдереем,"49,1 кКал","1,2 г","3,1 г","4,4 г"
Цветная капуста с помидорами,"46,3 кКал","2,2 г","2,5 г","3,9 г"
Цепелинай с мясом,"41,3 кКал","1,2 г","2,9 г","2,8 г"
Цеппелины (Литовская кухня),"116,8 кКал","4,1 г","8,9 г","5,4 г"
"Цимес ""Еврейский"" (тушеные овощи)","135,7 кКал","3,1 г","6,3 г","17,7 г"
Цуккини в сырной панировке,"100,9 кКал","6,2 г","4,8 г","8,9 г"
Цыпленок с пряностями,"167,3 кКал",15 г,"11,3 г","1,6 г"
Цыплята табака (грузинское национальное блюдо),"350,5 кКал","29,2 г","24,8 г","2,8 г"
"Цыплята, тушенные с морковью и репой","250,8 кКал","11,8 г","19,5 г","7,4 г"
Чахохбили из курицы,"119,7 кКал","6,9 г","8,9 г","3,3 г"
Чебуреки,"279,3 кКал","12,5 г","15,6 г","23,6 г"
Чолнт-фиш,"142,7 кКал",8 г,"11,1 г",3 г
"Шашлык из баранины, говядины или свинины","154,5 кКал","11,3 г","10,5 г",4 г
Шашлык из говядины,"465,5 кКал","22,1 г","40,8 г","2,7 г"
Шницель,"456,2 кКал","16,5 г","39,2 г","9,9 г"
Шницель из капусты,"149,2 кКал","3,3 г","10,9 г","10,1 г"
Шницель из разных овощей в молочном соусе,180 кКал,"4,2 г","12,7 г",13 г
Шницель натуральный рубленый,"539,6 кКал","20,3 г","47,7 г","7,9 г"
Шницель рыбный натуральный,"203,3 кКал","14,6 г","11,7 г","10,7 г"
Шурпа,"44,3 кКал","2,2 г","2,4 г","3,7 г"
Шурпа в горшочке (дагестанское национальное блюдо),"76,9 кКал","5,2 г","3,5 г","6,6 г"
Эскалоп,"486,6 кКал",19 г,"42,8 г","6,8 г"
"Язык говяжий ""по-кавказски""","182,2 кКал","9,5 г","12,3 г","8,9 г"
Язык отварной в соусе,"206,7 кКал","19,1 г","14,1 г","0,9 г"
Яичница глазунья (натуральная),"240,8 кКал","15,9 г","19,3 г",1 г
Яичница глазунья с мясными продуктами,294 кКал,"18,6 г","24,1 г","0,8 г"
Яичница глазунья с овощами или грибами,"257,1 кКал","18,2 г","14,4 г","14,6 г"
Яичница с курицей и грибами,"210,4 кКал","8,6 г","18,1 г","3,4 г"
Яйца под майонезом с гарниром,251 кКал,"7,2 г","22,8 г","4,4 г"
Яйца фаршированные сельдью и луком,"160,4 кКал","7,3 г","12,6 г","4,7 г"
"Яйца, фаршированные креветками","226,6 кКал","19,1 г","15,9 г","1,8 г"
Бабка из черного хлеба с яблоками,"189,7 кКал","2,6 г",9 г,"26,2 г"
Бабушкины Рогалики,"320,7 кКал","4,5 г","19,6 г","33,7 г"
Буберт из пшеничной муки,"123,1 кКал","4,4 г","6,2 г","13,3 г"
Ватрушки (из дрожжевого теста),"319,3 кКал","13,3 г","11,9 г","42,5 г"
Воздушный пирог из черники,"149,9 кКал","3,2 г","4,2 г","26,4 г"
Картофельное печенье,69 кКал,"2,9 г","2,5 г","9,3 г"
Картофельное суфле,"108,8 кКал","5,6 г","6,1 г","8,3 г"
"Кекс ""Пока гости раздеваются""","286,5 кКал","4,6 г","13,1 г",40 г
Кекс кондитерский,"276,2 кКал","6,2 г","13,6 г","34,4 г"
Кекс молдавский,"271,4 кКал","5,6 г","8,9 г",45 г
Кекс шоколадный,"356,3 кКал","6,2 г","20,2 г","39,8 г"
Крокеты из манной крупы,"176,9 кКал","4,6 г","12,2 г","13,1 г"
Крокеты из моркови с изюмом,134 кКал,"3,6 г","2,8 г","25,3 г"
Крупеник,"204,4 кКал","8,3 г","12,1 г","16,7 г"
Кулебяки (из дрожжевого теста),"278,9 кКал","16,2 г","11,7 г",29 г
Кулич пасхальный,"320,4 кКал","6,8 г","14,4 г","43,8 г"
Лапшевник с творогом,"165,9 кКал","6,9 г","9,5 г","14,1 г"
Лекех,"264,3 кКал","6,8 г","5,2 г","50,9 г"
Лепешки из творога и картофеля,"153,8 кКал","9,3 г","8,9 г","9,9 г"
Макаронник,"126,6 кКал","4,1 г","5,6 г",16 г
Манная запеканка с вишней,"102,7 кКал","3,6 г","3,6 г","14,9 г"
Манник,"218,4 кКал","6,2 г","2,4 г","45,9 г"
Манный пудинг с абрикосами,"126,1 кКал","4,4 г","4,4 г","18,5 г"
Манный пудинг с грушами,"115,5 кКал","3,5 г","3,2 г","19,4 г"
Манный пудинг с клубникой,"119,5 кКал","4,1 г","5,2 г","15,1 г"
Медовик,"311,1 кКал","8,3 г","4,9 г","62,3 г"
Миндальный пудинг с клубникой,"178,5 кКал","4,1 г","8,6 г","22,5 г"
Ореховое печение,"268,5 кКал","6,7 г","12,1 г","35,5 г"
Печенье из картофеля с яблоками,148 кКал,"1,9 г","4,5 г","26,7 г"
Печенье из кофе,"366,6 кКал","6,2 г","21,3 г",40 г
Печенье из творога,"380,9 кКал","9,3 г",26 г,"29,3 г"
Пирог летний,"238,3 кКал","9,2 г","8,4 г","33,5 г"
Пирог от Анюты,"312,5 кКал","9,8 г","15,9 г","34,8 г"
Пирог с бананами,"115,6 кКал","2,3 г","0,7 г","26,8 г"
Пирог с вишнями,"313,9 кКал","2,9 г","20,7 г",31 г
Пирог с творогом и вишней,"128,3 кКал","7,7 г","3,7 г",17 г
Пирог с черникой,"298,4 кКал","2,9 г","11,5 г","48,8 г"
Пирог яблочный открытый,"193,6 кКал","2,1 г","7,3 г",32 г
Пироги закрытые,"252,4 кКал","12,1 г","6,6 г","38,7 г"
Пирожки жареные из дрожжевого теста (простые с фаршем массой 75г.),"339,4 кКал","13,5 г","17,7 г","33,6 г"
Пирожки печеные из дрожжевого теста (простые массой 75г.),"285,8 кКал","14,4 г","9,2 г","38,7 г"
Пирожки печеные из пресного слоеного теста ( массой 75г.),"390,4 кКал","14,4 г","24,5 г","29,9 г"
Пирожки с картофелем и творогом,"98,6 кКал","8,6 г","0,9 г",15 г
Пицца с луком и сыром,"198,9 кКал","5,2 г","15,4 г","10,4 г"
Пицца с помидорами и сыром,"221,6 кКал","4,1 г","17,5 г","12,6 г"
Пончики,"328,7 кКал","6,7 г","14,7 г","45,1 г"
Пшенная запеканка,"246,1 кКал","7,3 г","5,5 г","44,7 г"
Расстегаи московские,"264,4 кКал","13,7 г","10,2 г","31,3 г"
Расстегаи с мясом или рыбой,"266,9 кКал","13,2 г","9,5 г","34,3 г"
Ржаные лепешки,390 кКал,"5,2 г","17,8 г","55,8 г"
Рисовые омлеты с вишней,"153,6 кКал","4,4 г","7,1 г","19,1 г"
"Рулет ""Мираж гурмана""","304,9 кКал","5,5 г","14,9 г","39,7 г"
Саварен (французский рождественский кекс),"175,3 кКал","3,7 г","3,7 г","33,9 г"
Свежие ягоды черники в сахаре,"241,5 кКал","0,4 г","0,2 г","63,4 г"
Свекла с творогом,"69,5 кКал","10,1 г","0,9 г","5,5 г"
Соты,"360,2 кКал","3,5 г","26,9 г","27,9 г"
Сочни творожные,"260,8 кКал","9,4 г","9,8 г","35,9 г"
Сочники с творогом,"244,1 кКал","9,6 г","7,9 г","35,8 г"
Сырники из творога,"300,2 кКал",13 г,"19,4 г","19,6 г"
Сырные палочки,"314,5 кКал","13,7 г","27,9 г","2,4 г"
Творожная запеканка,"239,6 кКал","8,4 г","6,8 г","38,6 г"
Творожная запеканка с макаронами,"228,5 кКал","11,2 г","9,1 г","27,3 г"
"Творожники ""Пряженые"" (с морковью и сыром)",320 кКал,"10,8 г","23,4 г","17,6 г"
Творожно-яблочная запеканка,"93,8 кКал","8,5 г","3,7 г","7,2 г"
Творожно-яблочный пирог,"207,3 кКал","5,1 г","6,2 г",35 г
Творожные шарики с яблоками,"321,2 кКал","7,2 г","23,8 г","20,8 г"
Торт Муравейник,"451,9 кКал","4,5 г","29,4 г","45,1 г"
Тыквенно-яблочная запеканка,"120,2 кКал","2,5 г","5,9 г","15,3 г"
Шанежки наливные с яйцами,"239,8 кКал","9,1 г",4 г,"44,7 г"
Шарлотка,"145,7 кКал","3,1 г","1,8 г","31,3 г"
Шарлотка с яблоками,"197,7 кКал","3,5 г",5 г,37 г
Яблоки в слойке,"238,3 кКал","3,9 г","9,9 г","35,7 г"
Яблоки в тесте жареные,"220,7 кКал","3,3 г",8 г,"36,1 г"
Яблоки или груши с сиропом,"105,3 кКал","0,3 г","0,3 г","27,1 г"
"Яблоки, запеченные с творогом","171,4 кКал","3,7 г","2,9 г","34,7 г"
"Яблоки, фаршированные рисом и орехами","151,1 кКал","3,1 г","8,5 г","16,7 г"
Яблочный каравай из черствого хлеба,"147,5 кКал","4,7 г","6,8 г",18 г
Бобовые в соусе,"347,7 кКал","26,2 г",7 г,48 г
Бобовые отварные,"391,5 кКал","30,4 г","7,2 г","54,7 г"
Бобовые отварные,"276,8 кКал","24,2 г","1,8 г","43,6 г"
Гарнир из овощей 1,"167,1 кКал","8,4 г","7,7 г",17 г
Гарнир из овощей 2,"18,8 кКал",1 г,"0,2 г","3,6 г"
Гарнир из овощей 3,"65,2 кКал","1,5 г","3,4 г","7,6 г"
Гарнир из овощей 4,"180,5 кКал","4,3 г","12,9 г","12,7 г"
Гарнир из овощей 5,"42,4 кКал","1,8 г","0,3 г","8,6 г"
Гарнир из овощей 6,"73,5 кКал","5,9 г","0,6 г","11,9 г"
Гарнир из овощей 7,"62,3 кКал",8 г,"1,8 г","3,8 г"
